"target","2015","act","also","america","american","americans","can","care","country","ensure","every","families","federal","first","get","health","help","hillary","including","just","like","make","many","national","need","new","people","plan","president","state","states","support","time","will","work","years","back","bring","business","companies","donald","dont","end","even","government","great","immigration","interests","job","jobs","keep","leave","less","long","may","much","needs","now","number","one","order","pay","place","politicians","put","right","second","since","stop","tax","trade","trump","wall","want","washington","well","working","world","year"
"1. Hilary",0,2,4,7,5,2,9,3,13,0,4,3,1,6,7,3,3,0,0,9,5,10,5,2,3,7,14,1,2,2,1,4,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,0,8,8,1,2,0,1,0,1,1,0,1,1,0,0,7,2,0,0,3,0,2,2,3,0,5,3,0,0,3,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,1,5,9,4,8,13,3,7,1,13,10,4,7,13,1,5,0,1,9,9,7,8,2,20,2,17,5,11,1,4,3,7,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,1,19,3,0,2,0,2,4,0,1,0,0,0,0,2,18,3,1,0,1,1,3,0,7,5,0,5,5,1,2,1,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",0,1,6,10,1,6,4,5,7,1,8,5,3,5,6,12,0,0,2,11,9,11,6,2,10,1,5,1,6,4,4,1,10,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,3,4,5,11,7,1,3,1,3,8,9,3,2,1,3,5,22,3,0,2,4,5,2,3,1,4,3,9,1,3,4,1,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,1,4,1,1,0,2,2,1,1,0,0,0,0,2,0,8,0,0,0,2,2,1,1,1,0,1,0,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,0,4,0,0,3,0,3,0,3,1,2,0,1,0,3,8,0,1,1,2,0,1,2,8,0,0,2,2,1,4,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,4,2,1,4,5,7,15,0,0,2,1,0,0,1,2,0,12,1,2,0,1,0,0,2,0,6,6,5,0,0,0,4,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,1,0,0,1,2,3,0,2,1,0,3,2,0,2,0,3,1,1,0,0,0,0,0,0,0,6,0,2,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
